exerciseId,field,before,after
"barbell-clean","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-clean-and-jerk","movementPattern","Other","Power / Plyometric"
"barbell-clean-and-jerk","primaryMuscles","full_body","glutes,front_deltoids"
"barbell-clean-and-jerk","secondaryMuscles","-","quadriceps,traps"
"barbell-clean-pull","movementPattern","Other","Power / Plyometric"
"barbell-clean-pull","primaryMuscles","full_body","glutes,traps"
"barbell-clean-pull","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-floor-press","primaryMuscles","full_body","chest"
"barbell-front-rack-carry","primaryMuscles","grip","forearms,traps"
"barbell-front-rack-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"barbell-guillotine-press","movementPattern","Other","Horizontal Push"
"barbell-guillotine-press","primaryMuscles","full_body","chest"
"barbell-hang-clean","movementPattern","Other","Power / Plyometric"
"barbell-hang-clean","primaryMuscles","full_body","glutes,traps"
"barbell-hang-clean","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-hang-snatch","movementPattern","Other","Power / Plyometric"
"barbell-hang-snatch","primaryMuscles","full_body","glutes,traps"
"barbell-hang-snatch","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-jm-press","movementPattern","Other","Elbow Extension"
"barbell-jm-press","primaryMuscles","full_body","triceps"
"barbell-larsen-press","movementPattern","Other","Horizontal Push"
"barbell-larsen-press","primaryMuscles","full_body","chest"
"barbell-overhead-carry","primaryMuscles","grip","forearms,traps"
"barbell-overhead-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"barbell-pin-press","movementPattern","Other","Horizontal Push"
"barbell-pin-press","primaryMuscles","full_body","chest"
"barbell-power-clean","movementPattern","Other","Power / Plyometric"
"barbell-power-clean","primaryMuscles","full_body","glutes,traps"
"barbell-power-clean","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-power-snatch","movementPattern","Other","Power / Plyometric"
"barbell-power-snatch","primaryMuscles","full_body","glutes,traps"
"barbell-power-snatch","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-push-jerk","movementPattern","Other","Power / Plyometric"
"barbell-push-jerk","primaryMuscles","full_body","front_deltoids"
"barbell-push-jerk","secondaryMuscles","-","triceps,traps"
"barbell-rack-pull","movementPattern","Other","Hinge / Hip Dominant"
"barbell-rack-pull","primaryMuscles","full_body","glutes"
"barbell-rack-pull","secondaryMuscles","-","hamstrings,erector_spinae"
"barbell-rollout","movementPattern","Other","Core"
"barbell-rollout","primaryMuscles","full_body","rectus_abdominis"
"barbell-russian-twist","movementPattern","Other","Core"
"barbell-russian-twist","primaryMuscles","full_body","obliques"
"barbell-shrug","movementPattern","Other","Shoulder Isolation"
"barbell-shrug","primaryMuscles","full_body","traps"
"barbell-snatch","movementPattern","Other","Power / Plyometric"
"barbell-snatch","primaryMuscles","full_body","glutes,traps"
"barbell-snatch","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-snatch-pull","movementPattern","Other","Power / Plyometric"
"barbell-snatch-pull","primaryMuscles","full_body","glutes,traps"
"barbell-snatch-pull","secondaryMuscles","-","quadriceps,hamstrings"
"barbell-split-jerk","movementPattern","Other","Power / Plyometric"
"barbell-split-jerk","primaryMuscles","full_body","front_deltoids"
"barbell-split-jerk","secondaryMuscles","-","triceps,traps"
"barbell-spoto-press","movementPattern","Other","Horizontal Push"
"barbell-spoto-press","primaryMuscles","full_body","chest"
"barbell-thruster","movementPattern","Other","Vertical Push"
"barbell-thruster","primaryMuscles","full_body","front_deltoids"
"barbell-walking-lunge","movementPattern","Cardio / Locomotion","Squat / Knee Dominant"
"barbell-walking-lunge","primaryMuscles","cardiovascular","quadriceps"
"barbell-walking-lunge","secondaryMuscles","quadriceps","glutes,hamstrings"
"battle-rope-alternating-waves","movementPattern","Other","Power / Plyometric"
"battle-rope-alternating-waves","primaryMuscles","full_body","forearms"
"battle-rope-alternating-waves","secondaryMuscles","-","front_deltoids"
"battle-rope-circles","movementPattern","Other","Power / Plyometric"
"battle-rope-circles","primaryMuscles","full_body","forearms"
"battle-rope-circles","secondaryMuscles","-","front_deltoids"
"battle-rope-double-waves","movementPattern","Other","Power / Plyometric"
"battle-rope-double-waves","primaryMuscles","full_body","forearms"
"battle-rope-double-waves","secondaryMuscles","-","front_deltoids"
"battle-rope-lateral-waves","movementPattern","Other","Power / Plyometric"
"battle-rope-lateral-waves","primaryMuscles","full_body","forearms"
"battle-rope-lateral-waves","secondaryMuscles","-","front_deltoids"
"battle-rope-slams","primaryMuscles","full_body","forearms"
"battle-rope-slams","secondaryMuscles","rectus_abdominis,calves","front_deltoids"
"bayesian-cable-curl","family","Bayesian  Curl","Bayesian Curl"
"bear-crawl","movementPattern","Other","Cardio / Locomotion"
"bear-crawl","primaryMuscles","full_body","cardiovascular"
"behind-the-back-cable-lateral-raise","family","Behind-the-Back  Lateral Raise","Behind-the-Back Lateral Raise"
"behind-the-back-cable-lateral-raise","movementPattern","Other","Shoulder Isolation"
"bicycle-crunch","movementPattern","Cardio / Locomotion","Core"
"bicycle-crunch","primaryMuscles","cardiovascular","obliques"
"bicycle-crunch","secondaryMuscles","quadriceps","-"
"bounding","primaryMuscles","full_body","quadriceps,glutes"
"bounding","secondaryMuscles","rectus_abdominis,calves","calves"
"box-jump","primaryMuscles","full_body","quadriceps,glutes"
"box-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"box-jump-over","primaryMuscles","full_body","quadriceps,glutes"
"box-jump-over","secondaryMuscles","rectus_abdominis,calves","calves"
"box-step-off-landing","movementPattern","Other","Power / Plyometric"
"box-step-off-landing","primaryMuscles","full_body","quadriceps,glutes"
"box-step-off-landing","secondaryMuscles","-","calves"
"boxing-mitt-work","movementPattern","Other","Cardio / Locomotion"
"boxing-mitt-work","primaryMuscles","full_body","cardiovascular"
"breathing-drill-90-90","movementPattern","Other","Mobility"
"breathing-drill-90-90","primaryMuscles","full_body","mobility"
"broad-jump","primaryMuscles","full_body","quadriceps,glutes"
"broad-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"burpee","movementPattern","Other","Power / Plyometric"
"burpee","primaryMuscles","full_body","quadriceps"
"burpee","secondaryMuscles","-","chest"
"burpee-box-jump","primaryMuscles","full_body","quadriceps,glutes"
"burpee-box-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"cable-bear-hug-carry","primaryMuscles","grip","forearms,traps"
"cable-bear-hug-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"cable-chop","movementPattern","Power / Plyometric","Core"
"cable-chop","primaryMuscles","full_body","obliques"
"cable-chop","secondaryMuscles","rectus_abdominis,calves","-"
"cable-crossover","movementPattern","Other","Horizontal Push"
"cable-crossover","primaryMuscles","full_body","chest"
"cable-crunch","movementPattern","Cardio / Locomotion","Core"
"cable-crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"cable-crunch","secondaryMuscles","quadriceps","-"
"cable-donkey-kick","movementPattern","Other","Hip Isolation"
"cable-donkey-kick","primaryMuscles","full_body","glutes"
"cable-glute-kickback","movementPattern","Other","Hip Isolation"
"cable-hip-abduction","movementPattern","Other","Hip Isolation"
"cable-hip-abduction","primaryMuscles","full_body","abductors"
"cable-hip-adduction","movementPattern","Other","Hip Isolation"
"cable-hip-adduction","primaryMuscles","full_body","adductors"
"cable-lateral-raise","movementPattern","Other","Shoulder Isolation"
"cable-leg-extension","movementPattern","Other","Squat / Knee Dominant"
"cable-lift","movementPattern","Other","Core"
"cable-lift","primaryMuscles","full_body","obliques"
"cable-press-around","movementPattern","Other","Core"
"cable-press-around","primaryMuscles","full_body","obliques"
"cable-reverse-crunch","movementPattern","Cardio / Locomotion","Core"
"cable-reverse-crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"cable-reverse-crunch","secondaryMuscles","quadriceps","-"
"cable-shrug","movementPattern","Other","Shoulder Isolation"
"cable-shrug","primaryMuscles","full_body","traps"
"cable-side-bend","movementPattern","Other","Core"
"cable-side-bend","primaryMuscles","full_body","obliques"
"cable-y-raise","movementPattern","Other","Shoulder Isolation"
"cable-y-raise","primaryMuscles","full_body","rear_deltoids"
"cartwheel","movementPattern","Other","Mobility"
"cartwheel","primaryMuscles","full_body","mobility"
"child-s-pose","movementPattern","Other","Mobility"
"child-s-pose","primaryMuscles","full_body","mobility"
"close-grip-cable-lat-pulldown","family","Close-Grip  Lat Pulldown","Close-Grip Lat Pulldown"
"close-grip-cable-seated-row","family","Close-Grip   Row","Close-Grip Row"
"countermovement-jump","primaryMuscles","full_body","quadriceps,glutes"
"countermovement-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"crocodile-breathing","movementPattern","Other","Mobility"
"crocodile-breathing","primaryMuscles","full_body","mobility"
"cross-body-carry","primaryMuscles","grip","forearms,traps"
"cross-body-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"cross-body-mountain-climber","movementPattern","Other","Core"
"cross-body-mountain-climber","primaryMuscles","full_body","obliques"
"crunch","movementPattern","Cardio / Locomotion","Core"
"crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"crunch","secondaryMuscles","quadriceps","-"
"cycling-intervals","movementPattern","Other","Cardio / Locomotion"
"cycling-intervals","primaryMuscles","full_body","cardiovascular"
"cycling-sprints","movementPattern","Other","Cardio / Locomotion"
"cycling-sprints","primaryMuscles","full_body","cardiovascular"
"dead-hang","movementPattern","Other","Mobility"
"dead-hang","primaryMuscles","full_body","mobility"
"depth-drop","movementPattern","Other","Power / Plyometric"
"depth-drop","primaryMuscles","full_body","quadriceps,glutes"
"depth-drop","secondaryMuscles","-","calves"
"depth-jump","primaryMuscles","full_body","quadriceps,glutes"
"depth-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"double-kettlebell-clean","movementPattern","Other","Power / Plyometric"
"double-kettlebell-clean","primaryMuscles","full_body","glutes,traps"
"double-kettlebell-clean","secondaryMuscles","-","quadriceps,hamstrings"
"double-kettlebell-press","movementPattern","Other","Vertical Push"
"double-kettlebell-press","primaryMuscles","full_body","front_deltoids"
"double-under","movementPattern","Other","Cardio / Locomotion"
"double-under","primaryMuscles","full_body","cardiovascular"
"dragon-flag","movementPattern","Other","Core"
"dragon-flag","primaryMuscles","full_body","rectus_abdominis"
"drop-to-sprint","movementPattern","Other","Power / Plyometric"
"drop-to-sprint","primaryMuscles","full_body","quadriceps,glutes"
"drop-to-sprint","secondaryMuscles","-","calves"
"dumbbell-box-step-down","movementPattern","Other","Squat / Knee Dominant"
"dumbbell-box-step-down","primaryMuscles","full_body","quadriceps"
"dumbbell-box-step-down","secondaryMuscles","-","glutes"
"dumbbell-clean","movementPattern","Other","Power / Plyometric"
"dumbbell-clean","primaryMuscles","full_body","glutes,traps"
"dumbbell-clean","secondaryMuscles","-","quadriceps,hamstrings"
"dumbbell-cuban-press","movementPattern","Other","Vertical Push"
"dumbbell-cuban-press","primaryMuscles","full_body","front_deltoids"
"dumbbell-farmer-carry","primaryMuscles","grip","forearms,traps"
"dumbbell-farmer-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"dumbbell-floor-press","primaryMuscles","full_body","chest"
"dumbbell-front-rack-carry","primaryMuscles","grip","forearms,traps"
"dumbbell-front-rack-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"dumbbell-front-raise","movementPattern","Other","Shoulder Isolation"
"dumbbell-hang-clean","movementPattern","Other","Power / Plyometric"
"dumbbell-hang-clean","primaryMuscles","full_body","glutes,traps"
"dumbbell-hang-clean","secondaryMuscles","-","quadriceps,hamstrings"
"dumbbell-jm-press","movementPattern","Other","Elbow Extension"
"dumbbell-jm-press","primaryMuscles","full_body","triceps"
"dumbbell-lateral-raise","movementPattern","Other","Shoulder Isolation"
"dumbbell-man-maker","movementPattern","Other","Power / Plyometric"
"dumbbell-man-maker","primaryMuscles","full_body","quadriceps"
"dumbbell-man-maker","secondaryMuscles","-","chest"
"dumbbell-overhead-carry","primaryMuscles","grip","forearms,traps"
"dumbbell-overhead-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"dumbbell-russian-twist","movementPattern","Other","Core"
"dumbbell-russian-twist","primaryMuscles","full_body","obliques"
"dumbbell-shrug","movementPattern","Other","Shoulder Isolation"
"dumbbell-shrug","primaryMuscles","full_body","traps"
"dumbbell-side-bend","movementPattern","Other","Core"
"dumbbell-side-bend","primaryMuscles","full_body","obliques"
"dumbbell-squeeze-press","movementPattern","Other","Horizontal Push"
"dumbbell-squeeze-press","primaryMuscles","full_body","chest"
"dumbbell-suitcase-carry","primaryMuscles","grip","forearms,traps"
"dumbbell-suitcase-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"dumbbell-tate-press","movementPattern","Other","Elbow Extension"
"dumbbell-tate-press","primaryMuscles","full_body","triceps"
"dumbbell-thruster","movementPattern","Other","Vertical Push"
"dumbbell-thruster","primaryMuscles","full_body","front_deltoids"
"dumbbell-tibialis-raise","movementPattern","Other","Calf / Ankle"
"dumbbell-tibialis-raise","primaryMuscles","full_body","tibialis_anterior"
"dumbbell-waiter-carry","primaryMuscles","grip","forearms,traps"
"dumbbell-waiter-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"dumbbell-walking-lunge","movementPattern","Cardio / Locomotion","Squat / Knee Dominant"
"dumbbell-walking-lunge","primaryMuscles","cardiovascular","quadriceps"
"dumbbell-walking-lunge","secondaryMuscles","quadriceps","glutes,hamstrings"
"dumbbell-z-press","movementPattern","Other","Vertical Push"
"dumbbell-z-press","primaryMuscles","full_body","front_deltoids"
"endurance-ride","movementPattern","Other","Cardio / Locomotion"
"endurance-ride","primaryMuscles","full_body","cardiovascular"
"farmer-carry","primaryMuscles","grip","forearms,traps"
"farmer-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"frog-pump","movementPattern","Other","Hip Isolation"
"frog-pump","primaryMuscles","full_body","glutes"
"front-rack-carry","primaryMuscles","grip","forearms,traps"
"front-rack-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"glute-drive-machine","movementPattern","Other","Hip Isolation"
"glute-drive-machine","primaryMuscles","full_body","glutes"
"glute-ham-developer-raise","movementPattern","Other","Hinge / Hip Dominant"
"glute-ham-developer-raise","primaryMuscles","full_body","erector_spinae"
"glute-kickback-machine","movementPattern","Other","Hip Isolation"
"half-kneeling-single-arm-lat-pulldown","family","Half-Kneeling  Lat Pulldown","Half-Kneeling Lat Pulldown"
"hanging-knee-raise","movementPattern","Other","Core"
"hanging-knee-raise","primaryMuscles","full_body","rectus_abdominis"
"heavy-bag-boxing","movementPattern","Other","Cardio / Locomotion"
"heavy-bag-boxing","primaryMuscles","full_body","cardiovascular"
"high-cable-curl","family","High  Curl","High Curl"
"high-cable-row","family","High  Row","High Row"
"high-to-low-cable-fly","family","High-to-Low  Fly","High-to-Low Fly"
"high-to-low-cable-wood-chop","family","High-to-Low  Wood Chop","High-to-Low Wood Chop"
"hike","movementPattern","Other","Cardio / Locomotion"
"hike","primaryMuscles","full_body","cardiovascular"
"hill-climb-ride","movementPattern","Other","Cardio / Locomotion"
"hill-climb-ride","primaryMuscles","full_body","cardiovascular"
"hill-repeats","movementPattern","Other","Cardio / Locomotion"
"hill-repeats","primaryMuscles","full_body","cardiovascular"
"hill-sprint","movementPattern","Other","Cardio / Locomotion"
"hill-sprint","primaryMuscles","full_body","cardiovascular"
"hip-car","movementPattern","Other","Mobility"
"hip-car","primaryMuscles","full_body","mobility"
"inchworm","movementPattern","Other","Mobility"
"inchworm","primaryMuscles","full_body","mobility"
"indoor-cycling","movementPattern","Other","Cardio / Locomotion"
"indoor-cycling","primaryMuscles","full_body","cardiovascular"
"jacobs-ladder","movementPattern","Other","Cardio / Locomotion"
"jacobs-ladder","primaryMuscles","full_body","cardiovascular"
"keg-carry","primaryMuscles","grip","forearms,traps"
"keg-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-bottoms-up-carry","primaryMuscles","grip","forearms,traps"
"kettlebell-bottoms-up-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-clean","movementPattern","Other","Power / Plyometric"
"kettlebell-clean","primaryMuscles","full_body","glutes,traps"
"kettlebell-clean","secondaryMuscles","-","quadriceps,hamstrings"
"kettlebell-clean-and-press","movementPattern","Other","Power / Plyometric"
"kettlebell-clean-and-press","primaryMuscles","full_body","glutes,front_deltoids"
"kettlebell-clean-and-press","secondaryMuscles","-","quadriceps,traps"
"kettlebell-farmer-carry","primaryMuscles","grip","forearms,traps"
"kettlebell-farmer-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-floor-press","primaryMuscles","full_body","chest"
"kettlebell-front-rack-carry","primaryMuscles","grip","forearms,traps"
"kettlebell-front-rack-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-goblet-clean","movementPattern","Other","Power / Plyometric"
"kettlebell-goblet-clean","primaryMuscles","full_body","glutes,traps"
"kettlebell-goblet-clean","secondaryMuscles","-","quadriceps,hamstrings"
"kettlebell-high-pull","movementPattern","Other","Power / Plyometric"
"kettlebell-high-pull","primaryMuscles","full_body","glutes,traps"
"kettlebell-high-pull","secondaryMuscles","-","quadriceps,hamstrings"
"kettlebell-jerk","movementPattern","Other","Power / Plyometric"
"kettlebell-jerk","primaryMuscles","full_body","front_deltoids"
"kettlebell-jerk","secondaryMuscles","-","triceps,traps"
"kettlebell-overhead-carry","primaryMuscles","grip","forearms,traps"
"kettlebell-overhead-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-press","movementPattern","Other","Vertical Push"
"kettlebell-press","primaryMuscles","full_body","front_deltoids"
"kettlebell-russian-twist","movementPattern","Other","Core"
"kettlebell-russian-twist","primaryMuscles","full_body","obliques"
"kettlebell-snatch","movementPattern","Other","Power / Plyometric"
"kettlebell-snatch","primaryMuscles","full_body","glutes,traps"
"kettlebell-snatch","secondaryMuscles","-","quadriceps,hamstrings"
"kettlebell-suitcase-carry","primaryMuscles","grip","forearms,traps"
"kettlebell-suitcase-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"kettlebell-thruster","movementPattern","Other","Vertical Push"
"kettlebell-thruster","primaryMuscles","full_body","front_deltoids"
"kettlebell-walking-lunge","movementPattern","Cardio / Locomotion","Squat / Knee Dominant"
"kettlebell-walking-lunge","primaryMuscles","cardiovascular","quadriceps"
"kettlebell-walking-lunge","secondaryMuscles","quadriceps","glutes,hamstrings"
"kettlebell-windmill","movementPattern","Other","Mobility"
"kettlebell-windmill","primaryMuscles","full_body","mobility"
"kickboxing-bag-work","movementPattern","Other","Cardio / Locomotion"
"kickboxing-bag-work","primaryMuscles","full_body","cardiovascular"
"knee-to-wall-ankle-mobilization","movementPattern","Other","Mobility"
"knee-to-wall-ankle-mobilization","primaryMuscles","full_body","mobility"
"kneeling-cable-crunch","family","Kneeling  Crunch","Kneeling Crunch"
"kneeling-cable-crunch","movementPattern","Cardio / Locomotion","Core"
"kneeling-cable-crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"kneeling-cable-crunch","secondaryMuscles","quadriceps","-"
"lateral-bound","primaryMuscles","full_body","quadriceps,glutes"
"lateral-bound","secondaryMuscles","rectus_abdominis,calves","calves"
"leaning-dumbbell-lateral-raise","family","Leaning  Lateral Raise","Leaning Lateral Raise"
"leaning-dumbbell-lateral-raise","movementPattern","Other","Shoulder Isolation"
"leg-extension-machine","movementPattern","Other","Squat / Knee Dominant"
"light-sled-sprint","movementPattern","Other","Cardio / Locomotion"
"light-sled-sprint","primaryMuscles","full_body","cardiovascular"
"log-clean-and-press","movementPattern","Other","Power / Plyometric"
"log-clean-and-press","primaryMuscles","full_body","glutes,front_deltoids"
"log-clean-and-press","secondaryMuscles","-","quadriceps,traps"
"low-cable-row","family","Low  Row","Low Row"
"low-to-high-cable-fly","family","Low-to-High  Fly","Low-to-High Fly"
"low-to-high-cable-wood-chop","family","Low-to-High  Wood Chop","Low-to-High Wood Chop"
"machine-abdominal-crunch","movementPattern","Cardio / Locomotion","Core"
"machine-abdominal-crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"machine-abdominal-crunch","secondaryMuscles","quadriceps","-"
"machine-back-extension","movementPattern","Other","Hinge / Hip Dominant"
"machine-back-extension","primaryMuscles","full_body","erector_spinae"
"machine-lateral-raise","movementPattern","Other","Shoulder Isolation"
"machine-rotary-torso","movementPattern","Other","Core"
"machine-rotary-torso","primaryMuscles","full_body","obliques"
"machine-shrug","movementPattern","Other","Shoulder Isolation"
"machine-shrug","primaryMuscles","full_body","traps"
"medicine-ball-burpee","movementPattern","Other","Power / Plyometric"
"medicine-ball-burpee","primaryMuscles","full_body","quadriceps"
"medicine-ball-burpee","secondaryMuscles","-","chest"
"medicine-ball-chest-pass","movementPattern","Other","Power / Plyometric"
"medicine-ball-chest-pass","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-chest-pass","secondaryMuscles","-","front_deltoids"
"medicine-ball-mountain-climber","movementPattern","Other","Core"
"medicine-ball-mountain-climber","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-rainbow-slam","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-rainbow-slam","secondaryMuscles","rectus_abdominis,calves","front_deltoids"
"medicine-ball-russian-twist","movementPattern","Other","Core"
"medicine-ball-russian-twist","primaryMuscles","full_body","obliques"
"medicine-ball-scoop-toss","movementPattern","Other","Power / Plyometric"
"medicine-ball-scoop-toss","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-scoop-toss","secondaryMuscles","-","front_deltoids"
"medicine-ball-side-slam","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-side-slam","secondaryMuscles","rectus_abdominis,calves","front_deltoids"
"medicine-ball-slam","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-slam","secondaryMuscles","rectus_abdominis,calves","front_deltoids"
"medicine-ball-v-up-pass","movementPattern","Other","Core"
"medicine-ball-v-up-pass","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-wall-ball","movementPattern","Other","Power / Plyometric"
"medicine-ball-wall-ball","primaryMuscles","full_body","rectus_abdominis"
"medicine-ball-wall-ball","secondaryMuscles","-","front_deltoids"
"mountain-biking","movementPattern","Other","Cardio / Locomotion"
"mountain-biking","primaryMuscles","full_body","cardiovascular"
"mountain-climber","movementPattern","Other","Core"
"mountain-climber","primaryMuscles","full_body","rectus_abdominis"
"multi-hip-abduction-machine","movementPattern","Other","Hip Isolation"
"multi-hip-abduction-machine","primaryMuscles","full_body","abductors"
"multi-hip-adduction-machine","movementPattern","Other","Hip Isolation"
"multi-hip-adduction-machine","primaryMuscles","full_body","adductors"
"multi-hip-extension-machine","movementPattern","Other","Hip Isolation"
"multi-hip-extension-machine","primaryMuscles","full_body","glutes"
"multi-hip-flexion-machine","movementPattern","Other","Hip Isolation"
"multi-hip-flexion-machine","primaryMuscles","full_body","hip_flexors"
"neck-car","movementPattern","Other","Mobility"
"neck-car","primaryMuscles","full_body","mobility"
"neutral-grip-cable-lat-pulldown","family","Neutral-Grip  Lat Pulldown","Neutral-Grip Lat Pulldown"
"overhead-carry","primaryMuscles","grip","forearms,traps"
"overhead-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"plate-loaded-incline-chest-press","family","Plate-Loaded  Chest Press","Plate-Loaded Chest Press"
"plate-loaded-seated-row","family","Plate-Loaded  Row","Plate-Loaded Row"
"pogo-jump","primaryMuscles","full_body","quadriceps,glutes"
"pogo-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"pool-intervals","movementPattern","Other","Cardio / Locomotion"
"pool-intervals","primaryMuscles","full_body","cardiovascular"
"power-skip","movementPattern","Other","Power / Plyometric"
"power-skip","primaryMuscles","full_body","quadriceps,glutes"
"power-skip","secondaryMuscles","-","calves"
"reactive-box-jump","primaryMuscles","full_body","quadriceps,glutes"
"reactive-box-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"recovery-ride","movementPattern","Other","Cardio / Locomotion"
"recovery-ride","primaryMuscles","full_body","cardiovascular"
"reverse-crunch","movementPattern","Cardio / Locomotion","Core"
"reverse-crunch","primaryMuscles","cardiovascular","rectus_abdominis"
"reverse-crunch","secondaryMuscles","quadriceps","-"
"reverse-pec-deck","movementPattern","Horizontal Push","Shoulder Isolation"
"reverse-pec-deck","primaryMuscles","full_body","rear_deltoids"
"reverse-pec-deck","secondaryMuscles","triceps,front_deltoids","-"
"road-cycling","movementPattern","Other","Cardio / Locomotion"
"road-cycling","primaryMuscles","full_body","cardiovascular"
"roman-chair-back-extension","movementPattern","Other","Hinge / Hip Dominant"
"roman-chair-back-extension","primaryMuscles","full_body","erector_spinae"
